model_name,framework,scaler,hidden_layers,batch_size,steps,train_accuracy,val_accuracy,test_accuracy,precision,recall,f1,roc_auc,generalization
baseline_single_hidden,numpy,standard,16,341,250,0.9589442815249267,0.9473684210526315,0.9473684210526315,0.9342105263157895,0.9861111111111112,0.9594594594594594,0.9923941798941799,balanced
baseline_single_hidden,sklearn,standard,16,341,250,0.9589442815249267,0.9473684210526315,0.9473684210526315,0.9342105263157895,0.9861111111111112,0.9594594594594594,0.9923941798941799,balanced
baseline_single_hidden,torch,standard,16,341,250,0.9589442815249267,0.9473684210526315,0.9473684210526315,0.9342105263157895,0.9861111111111112,0.9594594594594594,0.9923941798941799,balanced
regularized_deep,numpy,standard,32-16,341,250,0.844574780058651,0.8157894736842105,0.868421052631579,0.8275862068965517,1.0,0.9056603773584906,0.9887566137566137,high_bias
regularized_deep,sklearn,standard,32-16,341,250,0.844574780058651,0.8157894736842105,0.868421052631579,0.8275862068965517,1.0,0.9056603773584906,0.9887566137566137,high_bias
regularized_deep,torch,standard,32-16,341,250,0.844574780058651,0.8157894736842105,0.868421052631579,0.8275862068965517,1.0,0.9056603773584906,0.9887566137566137,high_bias
wider_single_hidden,numpy,standard,64,64,250,0.9882697947214076,0.9736842105263158,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.996031746031746,balanced
wider_single_hidden,sklearn,standard,64,64,250,0.9882697947214076,0.9736842105263158,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.996031746031746,balanced
wider_single_hidden,torch,standard,64,64,250,0.9882697947214076,0.9824561403508771,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.996031746031746,balanced
deep_three_layer,numpy,standard,32-16-8,341,250,0.6275659824046921,0.6228070175438597,0.631578947368421,0.631578947368421,1.0,0.7741935483870968,0.9844576719576719,high_bias
deep_three_layer,sklearn,standard,32-16-8,341,250,0.6275659824046921,0.6228070175438597,0.631578947368421,0.631578947368421,1.0,0.7741935483870968,0.9844576719576719,high_bias
deep_three_layer,torch,standard,32-16-8,341,250,0.6275659824046921,0.6228070175438597,0.631578947368421,0.631578947368421,1.0,0.7741935483870968,0.9844576719576719,high_bias
baseline_single_hidden,numpy,minmax,16,341,250,0.7038123167155426,0.6754385964912281,0.6929824561403509,0.6728971962616822,1.0,0.8044692737430168,0.9877645502645502,high_bias
baseline_single_hidden,sklearn,minmax,16,341,250,0.7038123167155426,0.6754385964912281,0.6929824561403509,0.6728971962616822,1.0,0.8044692737430168,0.9877645502645502,high_bias
baseline_single_hidden,torch,minmax,16,341,250,0.7038123167155426,0.6754385964912281,0.6929824561403509,0.6728971962616822,1.0,0.8044692737430168,0.9877645502645502,high_bias
